Item_Identifier,Outlet_Identifier,0
FDW58,OUT049,1415.8570855405123
FDW14,OUT017,1113.496228592363
NCN55,OUT010,591.8619547624631
FDQ58,OUT017,2280.4790549599543
FDY38,OUT027,6192.616042470991
FDH56,OUT046,1362.282935235737
FDL48,OUT018,864.8960696888703
FDC48,OUT027,1888.8543554457192
FDN33,OUT045,1209.222638836813
FDA36,OUT017,2793.8286381480098
FDT44,OUT017,1673.984929735466
FDQ56,OUT045,1157.597436615678
NCC54,OUT019,554.454194751735
FDU11,OUT049,1664.4387416481366
DRL59,OUT013,816.0456332333896
FDM24,OUT049,2116.0154083881444
FDI57,OUT045,2822.6242709145713
DRC12,OUT018,2501.2602170001956
NCM42,OUT027,2338.8682735418174
FDA46,OUT010,378.2879090830249
FDA31,OUT013,2391.9672075949015
NCJ31,OUT035,5152.002129283961
FDG52,OUT046,743.5744079105672
NCL19,OUT019,268.9316871782889
FDS10,OUT035,2838.60470489922
FDX22,OUT010,424.75955398022353
NCF19,OUT035,872.140043399926
NCE06,OUT046,2297.7272866266453
DRC27,OUT046,4174.251291479196
FDE21,OUT035,1851.9040755592764
NCR42,OUT019,93.96046432513226
FDX51,OUT018,2434.7941460253987
NCR06,OUT018,657.4875879828872
FDU31,OUT027,5147.638840227302
FDU59,OUT017,2536.4941069124543
FDR03,OUT027,4789.096344654317
FDS49,OUT027,1949.6055300005348
FDD48,OUT010,188.75259725481254
NCF18,OUT017,3399.366028630637
NCD43,OUT027,2219.445084838974
NCD54,OUT018,1680.9375631004361
FDY19,OUT010,230.05905477863197
NCY54,OUT017,2608.208715073157
NCL19,OUT018,1573.4913674767492
FDP23,OUT010,542.3178672685262
FDC26,OUT013,1347.3709619500614
FDR14,OUT010,113.21602035654824
NCS41,OUT035,2857.3150748100197
FDF41,OUT035,4729.140985702421
FDU34,OUT046,1742.1664575468412
DRH11,OUT046,863.6516854654232
FDM03,OUT013,1362.8643161118664
FDS31,OUT017,3138.6961606628743
FDJ20,OUT017,1628.8712508214128
FDV44,OUT027,3878.2084452189474
FDG02,OUT049,2698.0140907980826
FDA09,OUT013,2192.80666986265
FDT04,OUT013,651.1398715393319
FDL58,OUT019,669.3485742950434
FDE52,OUT045,1239.952980207811
FDW12,OUT035,1945.134427623401
FDL51,OUT017,3409.046295671288
NCY42,OUT027,3045.433533384738
FDR07,OUT017,1567.8263425524833
FDN40,OUT045,2108.820780070666
FDB35,OUT027,1725.26953673469
FDA22,OUT017,2243.968380432622
NCL06,OUT046,4711.192295301855
FDI35,OUT013,2086.880169156871
NCW42,OUT045,3519.013594898564
NCX06,OUT049,2594.166749798985
FDC37,OUT027,2329.5283944231032
FDZ14,OUT018,1295.3616302683747
DRG49,OUT049,4146.292475007388
NCG06,OUT045,4622.4903382129605
DRC36,OUT045,2391.6126799190456
FDV21,OUT019,205.64632625682808
FDB53,OUT046,2016.0704672169836
DRP47,OUT019,537.3347677234876
FDA14,OUT013,1526.289721471792
